buffer_name,feature_prefix,sample_name,replicate_id,group_type,tc_conc_uM,otc_conc_uM,ctc_conc_uM,roi_mean_r,roi_mean_g,roi_mean_b,roi_std_r,roi_std_g,roi_std_b,hsv_mean_h,hsv_mean_s,hsv_mean_v,hsv_std_h,hsv_std_s,hsv_std_v,lab_mean_l,lab_mean_a,lab_mean_b,lab_std_l,lab_std_a,lab_std_b,pixel_count,kept_pixel_count,status,warning,source_csv,source_image_path,source_crop_path
T=10,tris10,binary_TC0_OTC12_CTC48,R1,binary,0,12,48,61.20703125,161.72622680664062,236.97491455078125,12.481372833251951,18.041637420654297,11.679727554321287,102.81658172607422,189.5433349609375,236.97491455078125,1.3883333206176758,10.969720840454102,11.679727554321287,163.39170837402344,123.99024200439452,81.95960235595703,15.250346183776855,5.359569072723389,4.60847282409668,10573,9530,ok,,D:/Desktop/Distinguish_TC/project_data_t10/rgb_results/rgb_results.csv,"binary/T=10_binary_0,12,48.jpg","cropped_cuvettes/T=10/binary/T=10_binary_0,12,48.png"
T=5,tris5,binary_TC0_OTC12_CTC48,R1,binary,0,12,48,143.9281768798828,147.84246826171875,155.329833984375,9.544118881225586,9.536920547485352,9.890186309814451,109.64581298828124,18.754926681518555,155.329833984375,2.779486894607544,1.97508442401886,9.890186309814451,156.03131103515625,127.93344116210938,123.59617614746094,9.260420799255373,0.6891043782234192,0.5373714566230774,18078,16542,ok,,D:/Desktop/Distinguish_TC/project_data_t5/rgb_results/rgb_results.csv,"binary/T=5_binary_0,12,48.jpg","cropped_cuvettes/T=5/binary/T=5_binary_0,12,48.png"
T=8,tris8,binary_TC0_OTC12_CTC48,R1,binary,0,12,48,157.81979370117188,213.41693115234372,212.4615173339844,13.850985527038574,16.07417106628418,15.77051067352295,89.38370513916016,66.70633697509766,213.50860595703125,0.7723197340965271,2.7659568786621094,16.008188247680664,208.5122528076172,110.20745849609376,122.73352813720705,14.29696273803711,0.8884258270263672,0.6720759272575378,18088,16437,ok,,D:/Desktop/Distinguish_TC/project_data_t8/rgb_results/rgb_results.csv,"binary/T=8_binary_0,12,48.jpg","cropped_cuvettes/T=8/binary/T=8_binary_0,12,48.png"
water,water,binary_TC0_OTC12_CTC48,R1,binary,0,12,48,178.0655517578125,180.8898162841797,187.46470642089844,13.577430725097656,13.800549507141112,14.055692672729492,111.1091537475586,12.768197059631348,187.46470642089844,2.478585958480835,1.6025952100753784,14.055692672729492,187.79312133789065,128.09710693359375,124.22128295898438,12.884114265441896,0.4464963376522064,0.4604412913322449,18084,16445,ok,,D:/Desktop/Distinguish_TC/project_data/rgb_results/rgb_results.csv,"binary/water_binary_0,12,48.jpg","cropped_cuvettes/water/binary/water_binary_0,12,48.png"
T=10,tris10,binary_TC0_OTC12_CTC48,R2,binary,0,12,48,63.26593780517578,162.1266632080078,237.0031280517578,14.168827056884766,18.233301162719727,11.920239448547363,102.91799926757812,187.43557739257807,237.0031280517578,1.315383791923523,12.571971893310549,11.920239448547363,163.8255615234375,124.04642486572266,82.21366882324219,15.533005714416504,5.240969181060791,4.742126941680908,10573,9585,ok,,D:/Desktop/Distinguish_TC/project_data_t10/rgb_results/rgb_results.csv,"binary/T=10_binary_0,12,48_1.jpg","cropped_cuvettes/T=10/binary/T=10_binary_0,12,48_1.png"
T=5,tris5,binary_TC0_OTC12_CTC48,R2,binary,0,12,48,146.5016632080078,149.73829650878906,157.39297485351562,9.111480712890623,9.447189331054688,9.636709213256836,111.2838363647461,17.65964698791504,157.39297485351562,4.360123634338379,2.45373797416687,9.636709213256836,158.0143280029297,128.30081176757812,123.61752319335938,9.047019958496094,0.9532122015953064,0.7574941515922546,17399,15907,ok,,D:/Desktop/Distinguish_TC/project_data_t5/rgb_results/rgb_results.csv,"binary/T=5_binary_0,12,48_1.jpg","cropped_cuvettes/T=5/binary/T=5_binary_0,12,48_1.png"
T=8,tris8,binary_TC0_OTC12_CTC48,R2,binary,0,12,48,167.60133361816406,223.52972412109372,222.9409942626953,15.362741470336914,17.40767478942871,16.845067977905273,89.71353912353516,64.40727233886719,223.99481201171875,1.1275163888931274,3.487845659255981,17.204614639282227,217.6693878173828,110.1939926147461,122.5239715576172,15.399582862854004,1.0929890871047974,0.9063188433647156,17550,15810,ok,,D:/Desktop/Distinguish_TC/project_data_t8/rgb_results/rgb_results.csv,"binary/T=8_binary_0,12,48_1.jpg","cropped_cuvettes/T=8/binary/T=8_binary_0,12,48_1.png"
water,water,binary_TC0_OTC12_CTC48,R2,binary,0,12,48,178.0460662841797,180.73385620117188,187.4497833251953,13.60880184173584,13.787585258483888,14.21841812133789,111.7116928100586,12.82575511932373,187.4499664306641,5.244437217712402,2.2875566482543945,14.218239784240724,187.6636199951172,128.2793426513672,124.1708526611328,12.905077934265137,0.917239785194397,0.7680341005325317,18221,16517,ok,,D:/Desktop/Distinguish_TC/project_data/rgb_results/rgb_results.csv,"binary/water_binary_0,12,48_1.jpg","cropped_cuvettes/water/binary/water_binary_0,12,48_1.png"
T=10,tris10,binary_TC0_OTC12_CTC48,R3,binary,0,12,48,67.54534149169922,170.51895141601562,241.2758331298828,14.499594688415527,18.758092880249023,8.097515106201172,102.11042022705078,183.93792724609372,241.2758331298828,1.7615221738815308,13.643890380859377,8.097515106201172,170.78158569335938,121.42510223388672,84.12825775146484,15.425111770629885,6.418798923492432,6.282699108123779,10476,9473,ok,,D:/Desktop/Distinguish_TC/project_data_t10/rgb_results/rgb_results.csv,"binary/T=10_binary_0,12,48_2.jpg","cropped_cuvettes/T=10/binary/T=10_binary_0,12,48_2.png"
T=5,tris5,binary_TC0_OTC12_CTC48,R3,binary,0,12,48,143.97608947753906,147.43299865722656,155.3437957763672,9.075033187866213,9.374768257141112,9.790199279785156,111.03816223144533,18.65749931335449,155.3437957763672,4.014482498168945,2.614149570465088,9.790199279785156,155.7665252685547,128.29473876953125,123.46682739257812,9.01455783843994,0.9236465692520142,0.823925256729126,17802,16143,ok,,D:/Desktop/Distinguish_TC/project_data_t5/rgb_results/rgb_results.csv,"binary/T=5_binary_0,12,48_2.jpg","cropped_cuvettes/T=5/binary/T=5_binary_0,12,48_2.png"
