sample_name,replicate_id,group_type,tc_conc_uM,otc_conc_uM,ctc_conc_uM,expected_buffers,available_buffers,ok_buffers,missing_buffers,failed_buffers,warning_buffers,duplicate_buffers,qc_status
binary_TC0_OTC12_CTC48,R1,binary,0,12,48,"water,T=8","T=8,water","T=8,water",,,,,ready
binary_TC0_OTC12_CTC48,R2,binary,0,12,48,"water,T=8","T=8,water","T=8,water",,,,,ready
binary_TC0_OTC12_CTC48,R3,binary,0,12,48,"water,T=8","T=8,water","T=8,water",,,,,ready
binary_TC0_OTC18_CTC42,R1,binary,0,18,42,"water,T=8","T=8,water","T=8,water",,,,,ready
binary_TC0_OTC18_CTC42,R2,binary,0,18,42,"water,T=8","T=8,water","T=8,water",,,,,ready
binary_TC0_OTC18_CTC42,R3,binary,0,18,42,"water,T=8","T=8,water","T=8,water",,,,,ready
binary_TC0_OTC30_CTC30,R1,binary,0,30,30,"water,T=8","T=8,water","T=8,water",,,,,ready
binary_TC0_OTC30_CTC30,R2,binary,0,30,30,"water,T=8","T=8,water","T=8,water",,,,,ready
binary_TC0_OTC30_CTC30,R3,binary,0,30,30,"water,T=8","T=8,water","T=8,water",,,,,ready
binary_TC0_OTC42_CTC18,R1,binary,0,42,18,"water,T=8","T=8,water","T=8,water",,,,,ready
binary_TC0_OTC42_CTC18,R2,binary,0,42,18,"water,T=8","T=8,water","T=8,water",,,,,ready
binary_TC0_OTC42_CTC18,R3,binary,0,42,18,"water,T=8","T=8,water","T=8,water",,,,,ready
binary_TC0_OTC48_CTC12,R1,binary,0,48,12,"water,T=8","T=8,water","T=8,water",,,,,ready
binary_TC0_OTC48_CTC12,R2,binary,0,48,12,"water,T=8","T=8,water","T=8,water",,,,,ready
binary_TC0_OTC48_CTC12,R3,binary,0,48,12,"water,T=8","T=8,water","T=8,water",,,,,ready
binary_TC0_OTC54_CTC6,R1,binary,0,54,6,"water,T=8","T=8,water","T=8,water",,,,,ready
binary_TC0_OTC54_CTC6,R2,binary,0,54,6,"water,T=8","T=8,water","T=8,water",,,,,ready
binary_TC0_OTC54_CTC6,R3,binary,0,54,6,"water,T=8","T=8,water","T=8,water",,,,,ready
binary_TC0_OTC6_CTC54,R1,binary,0,6,54,"water,T=8","T=8,water","T=8,water",,,,,ready
binary_TC0_OTC6_CTC54,R2,binary,0,6,54,"water,T=8","T=8,water","T=8,water",,,,,ready
binary_TC0_OTC6_CTC54,R3,binary,0,6,54,"water,T=8","T=8,water","T=8,water",,,,,ready
binary_TC12_OTC0_CTC48,R1,binary,12,0,48,"water,T=8","T=8,water","T=8,water",,,,,ready
binary_TC12_OTC0_CTC48,R2,binary,12,0,48,"water,T=8","T=8,water","T=8,water",,,,,ready
binary_TC12_OTC0_CTC48,R3,binary,12,0,48,"water,T=8","T=8,water","T=8,water",,,,,ready
binary_TC12_OTC48_CTC0,R1,binary,12,48,0,"water,T=8","T=8,water","T=8,water",,,,,ready
binary_TC12_OTC48_CTC0,R2,binary,12,48,0,"water,T=8","T=8,water","T=8,water",,,,,ready
binary_TC12_OTC48_CTC0,R3,binary,12,48,0,"water,T=8","T=8,water","T=8,water",,,,,ready
binary_TC18_OTC0_CTC42,R1,binary,18,0,42,"water,T=8","T=8,water","T=8,water",,,,,ready
binary_TC18_OTC0_CTC42,R2,binary,18,0,42,"water,T=8","T=8,water","T=8,water",,,,,ready
binary_TC18_OTC0_CTC42,R3,binary,18,0,42,"water,T=8","T=8,water","T=8,water",,,,,ready
binary_TC18_OTC42_CTC0,R1,binary,18,42,0,"water,T=8","T=8,water","T=8,water",,,,,ready
binary_TC18_OTC42_CTC0,R2,binary,18,42,0,"water,T=8","T=8,water","T=8,water",,,,,ready
binary_TC18_OTC42_CTC0,R3,binary,18,42,0,"water,T=8","T=8,water","T=8,water",,,,,ready
binary_TC30_OTC0_CTC30,R1,binary,30,0,30,"water,T=8","T=8,water","T=8,water",,,,,ready
binary_TC30_OTC0_CTC30,R2,binary,30,0,30,"water,T=8","T=8,water","T=8,water",,,,,ready
binary_TC30_OTC0_CTC30,R3,binary,30,0,30,"water,T=8","T=8,water","T=8,water",,,,,ready
binary_TC30_OTC30_CTC0,R1,binary,30,30,0,"water,T=8","T=8,water","T=8,water",,,,,ready
binary_TC30_OTC30_CTC0,R2,binary,30,30,0,"water,T=8","T=8,water","T=8,water",,,,,ready
binary_TC30_OTC30_CTC0,R3,binary,30,30,0,"water,T=8","T=8,water","T=8,water",,,,,ready
binary_TC42_OTC0_CTC18,R1,binary,42,0,18,"water,T=8","T=8,water","T=8,water",,,,,ready
binary_TC42_OTC0_CTC18,R2,binary,42,0,18,"water,T=8","T=8,water","T=8,water",,,,,ready
binary_TC42_OTC0_CTC18,R3,binary,42,0,18,"water,T=8","T=8,water","T=8,water",,,,,ready
binary_TC42_OTC18_CTC0,R1,binary,42,18,0,"water,T=8","T=8,water","T=8,water",,,,,ready
binary_TC42_OTC18_CTC0,R2,binary,42,18,0,"water,T=8","T=8,water","T=8,water",,,,,ready
binary_TC42_OTC18_CTC0,R3,binary,42,18,0,"water,T=8","T=8,water","T=8,water",,,,,ready
binary_TC48_OTC0_CTC12,R1,binary,48,0,12,"water,T=8","T=8,water","T=8,water",,,,,ready
binary_TC48_OTC0_CTC12,R2,binary,48,0,12,"water,T=8","T=8,water","T=8,water",,,,,ready
binary_TC48_OTC0_CTC12,R3,binary,48,0,12,"water,T=8","T=8,water","T=8,water",,,,,ready
binary_TC48_OTC12_CTC0,R1,binary,48,12,0,"water,T=8","T=8,water","T=8,water",,,,,ready
binary_TC48_OTC12_CTC0,R2,binary,48,12,0,"water,T=8","T=8,water","T=8,water",,,,,ready
binary_TC48_OTC12_CTC0,R3,binary,48,12,0,"water,T=8","T=8,water","T=8,water",,,,,ready
binary_TC54_OTC0_CTC6,R1,binary,54,0,6,"water,T=8","T=8,water","T=8,water",,,,,ready
binary_TC54_OTC0_CTC6,R2,binary,54,0,6,"water,T=8","T=8,water","T=8,water",,,,,ready
binary_TC54_OTC0_CTC6,R3,binary,54,0,6,"water,T=8","T=8,water","T=8,water",,,,,ready
binary_TC54_OTC6_CTC0,R1,binary,54,6,0,"water,T=8","T=8,water","T=8,water",,,,,ready
binary_TC54_OTC6_CTC0,R2,binary,54,6,0,"water,T=8","T=8,water","T=8,water",,,,,ready
binary_TC54_OTC6_CTC0,R3,binary,54,6,0,"water,T=8","T=8,water","T=8,water",,,,,ready
binary_TC6_OTC0_CTC54,R1,binary,6,0,54,"water,T=8","T=8,water","T=8,water",,,,,ready
binary_TC6_OTC0_CTC54,R2,binary,6,0,54,"water,T=8","T=8,water","T=8,water",,,,,ready
